2026-05-13 14:48:17 | ERROR    | app.core.openai_client | OpenAI API error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-05-13 14:54:09 | INFO     | app.main | Shutting down application...
2026-05-13 14:54:09 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 14:54:09 | INFO     | app.main | Initializing services...
2026-05-13 14:54:09 | INFO     | app.main | All directories created successfully
2026-05-13 14:54:24 | INFO     | app.main | Shutting down application...
2026-05-13 14:54:25 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 14:54:25 | INFO     | app.main | Initializing services...
2026-05-13 14:54:25 | INFO     | app.main | All directories created successfully
2026-05-13 14:56:15 | INFO     | app.main | Shutting down application...
2026-05-13 14:56:48 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 14:56:48 | INFO     | app.main | Initializing services...
2026-05-13 14:56:48 | INFO     | app.main | All directories created successfully
2026-05-13 14:56:54 | INFO     | app.utils.file_utils | Template saved: templates/2334f55e-b78f-4e37-8674-1ec2213f1b66/original.docx
2026-05-13 14:56:54 | INFO     | app.services.placeholder_extractor | Extracted 20 placeholders: {'address', 'invoice_number', 'approved_by', 'employee_count', 'company_name', 'director_name', 'generated_by_ai', 'project_cost', 'document_id', 'postal_code', 'company_email', 'currency', 'department', 'website', 'country', 'signing_date', 'city', 'phone_number', 'final_amount', 'tax_amount'}
2026-05-13 14:56:54 | INFO     | app.services.template_manager | Template created: 2334f55e-b78f-4e37-8674-1ec2213f1b66 with 20 placeholders
2026-05-13 14:57:27 | INFO     | app.core.openai_client | Groq API success - Extracted 3 placeholders: ['company_name', 'director_name', 'project_cost']
2026-05-13 14:57:27 | INFO     | app.utils.validation | Validation passed. Mapped 3 placeholders
2026-05-13 14:57:27 | INFO     | app.services.ai_mapper | AI mapping completed. Filled 3 placeholders
2026-05-13 14:57:56 | INFO     | app.api.v1.endpoints.generate | Generating document for template 2334f55e-b78f-4e37-8674-1ec2213f1b66
2026-05-13 14:57:56 | INFO     | app.api.v1.endpoints.generate | Allowed placeholders: {'invoice_number', 'director_name', 'project_cost', 'postal_code', 'document_id', 'company_email', 'department', 'website', 'address', 'approved_by', 'employee_count', 'company_name', 'generated_by_ai', 'currency', 'country', 'signing_date', 'city', 'phone_number', 'final_amount', 'tax_amount'}
2026-05-13 14:57:56 | INFO     | app.core.openai_client | Groq API success - Extracted 3 placeholders: ['company_name', 'director_name', 'project_cost']
2026-05-13 14:57:56 | INFO     | app.utils.validation | Validation passed. Mapped 3 placeholders
2026-05-13 14:57:56 | INFO     | app.services.ai_mapper | AI mapping completed. Filled 3 placeholders
2026-05-13 14:57:56 | INFO     | app.api.v1.endpoints.generate | AI mapped 3 values: ['company_name', 'director_name', 'project_cost']
2026-05-13 14:57:56 | INFO     | app.services.docx_renderer | Template rendered successfully with 3 variables
2026-05-13 14:57:56 | INFO     | app.utils.file_utils | Generated document saved: generated_docs/2334f55e-b78f-4e37-8674-1ec2213f1b66/generated_06324627.docx
2026-05-13 15:27:42 | INFO     | app.main | Shutting down application...
2026-05-13 15:32:22 | WARNING  | app.database | Using SQLite fallback database
2026-05-13 15:32:28 | WARNING  | app.database | Using SQLite fallback database
2026-05-13 15:38:05 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:38:05 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:38:45 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:38:45 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:38:51 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:38:51 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:38:56 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:38:56 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:39:02 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:39:02 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:45:15 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:45:15 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:46:24 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:46:24 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:46:30 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:46:30 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:47:19 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:47:19 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:47:20 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 15:47:20 | INFO     | app.main | Initializing services...
2026-05-13 15:47:20 | INFO     | app.main | All directories created successfully
2026-05-13 15:47:20 | INFO     | app.database | 🐘 PostgreSQL: PostgreSQL 14.20 (Homebrew) on aarch64-apple-darwin24.6.0
2026-05-13 15:47:20 | INFO     | app.database | ✅ Database connection successful
2026-05-13 15:47:20 | INFO     | app.main | Database initialized successfully
2026-05-13 15:47:39 | INFO     | app.utils.file_utils | Template saved: templates/5ccc9654-741e-4087-8d26-3e91c2b1ea48/original.docx
2026-05-13 15:47:39 | INFO     | app.services.placeholder_extractor | Extracted 20 placeholders: {'city', 'project_cost', 'company_name', 'signing_date', 'generated_by_ai', 'tax_amount', 'phone_number', 'postal_code', 'currency', 'invoice_number', 'address', 'director_name', 'employee_count', 'document_id', 'company_email', 'department', 'country', 'final_amount', 'approved_by', 'website'}
2026-05-13 15:47:39 | INFO     | app.services.template_manager | Template saved to database: 5ccc9654-741e-4087-8d26-3e91c2b1ea48
2026-05-13 15:47:59 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 15:49:06 | INFO     | app.main | Shutting down application...
2026-05-13 15:49:23 | INFO     | app.database | ✅ PostgreSQL engine created
2026-05-13 15:49:23 | INFO     | app.database | 📊 Database: localhost:5432
2026-05-13 15:49:23 | INFO     | app.main | Starting Doc Automation API in development mode
2026-05-13 15:49:23 | INFO     | app.main | Initializing services...
2026-05-13 15:49:23 | INFO     | app.main | All directories created successfully
2026-05-13 15:49:23 | INFO     | app.database | 🐘 PostgreSQL: PostgreSQL 14.20 (Homebrew) on aarch64-apple-darwin24.6.0
2026-05-13 15:49:23 | INFO     | app.database | ✅ Database connection successful
2026-05-13 15:49:23 | INFO     | app.main | Database initialized successfully
2026-05-13 15:49:35 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 15:49:53 | INFO     | app.api.v1.endpoints.generate | Generating document for template: 5ccc9654-741e-4087-8d26-3e91c2b1ea48
2026-05-13 15:49:53 | INFO     | app.services.template_manager | Template retrieved from database: 5ccc9654-741e-4087-8d26-3e91c2b1ea48
2026-05-13 15:49:53 | INFO     | app.services.template_manager | Template retrieved from database: 5ccc9654-741e-4087-8d26-3e91c2b1ea48
2026-05-13 15:49:53 | INFO     | app.api.v1.endpoints.generate | Template found. Placeholders: {'country', 'signing_date', 'company_name', 'currency', 'company_email', 'city', 'phone_number', 'generated_by_ai', 'website', 'address', 'invoice_number', 'project_cost', 'director_name', 'department', 'final_amount', 'postal_code', 'document_id', 'approved_by', 'tax_amount', 'employee_count'}
2026-05-13 15:49:54 | INFO     | app.core.openai_client | Groq API success - Extracted 3 placeholders: ['company_name', 'director_name', 'project_cost']
2026-05-13 15:49:54 | INFO     | app.utils.validation | Validation passed. Mapped 3 placeholders
2026-05-13 15:49:54 | INFO     | app.services.ai_mapper | AI mapping completed. Filled 3 placeholders
2026-05-13 15:49:54 | INFO     | app.api.v1.endpoints.generate | AI mapped 3 values
2026-05-13 15:49:54 | INFO     | app.services.docx_renderer | Template rendered successfully with 3 variables
2026-05-13 15:49:54 | INFO     | app.utils.file_utils | Generated document saved: generated_docs/5ccc9654-741e-4087-8d26-3e91c2b1ea48/generated_a16bf7a0.docx
2026-05-13 16:19:03 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:19:08 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:19:09 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:19:12 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 16:19:33 | INFO     | app.utils.file_utils | Template saved: templates/e983f56d-dd03-4ff5-9f5c-6bada3934905/original.docx
2026-05-13 16:19:33 | INFO     | app.services.placeholder_extractor | Extracted 20 placeholders: {'country', 'address', 'invoice_number', 'signing_date', 'project_cost', 'director_name', 'department', 'final_amount', 'company_name', 'currency', 'company_email', 'city', 'postal_code', 'phone_number', 'generated_by_ai', 'website', 'document_id', 'approved_by', 'tax_amount', 'employee_count'}
